Total Nacional	Provincias	Tipo de dato	Periodo	Total
Total Nacional	34 Palencia	Dato base	2020SM43	56
Total Nacional	34 Palencia	Dato base	2020SM42	51
Total Nacional	34 Palencia	Dato base	2020SM41	40
Total Nacional	34 Palencia	Dato base	2020SM40	38
Total Nacional	34 Palencia	Dato base	2020SM39	53
Total Nacional	34 Palencia	Dato base	2020SM38	38
Total Nacional	34 Palencia	Dato base	2020SM37	41
Total Nacional	34 Palencia	Dato base	2020SM36	47
Total Nacional	34 Palencia	Dato base	2020SM35	40
Total Nacional	34 Palencia	Dato base	2020SM34	44
Total Nacional	34 Palencia	Dato base	2020SM33	46
Total Nacional	34 Palencia	Dato base	2020SM32	42
Total Nacional	34 Palencia	Dato base	2020SM31	34
Total Nacional	34 Palencia	Dato base	2020SM30	43
Total Nacional	34 Palencia	Dato base	2020SM29	42
Total Nacional	34 Palencia	Dato base	2020SM28	40
Total Nacional	34 Palencia	Dato base	2020SM27	43
Total Nacional	34 Palencia	Dato base	2020SM26	46
Total Nacional	34 Palencia	Dato base	2020SM25	39
Total Nacional	34 Palencia	Dato base	2020SM24	28
Total Nacional	34 Palencia	Dato base	2020SM23	39
Total Nacional	34 Palencia	Dato base	2020SM22	38
Total Nacional	34 Palencia	Dato base	2020SM21	41
Total Nacional	34 Palencia	Dato base	2020SM20	35
Total Nacional	34 Palencia	Dato base	2020SM19	49
Total Nacional	34 Palencia	Dato base	2020SM18	39
Total Nacional	34 Palencia	Dato base	2020SM17	57
Total Nacional	34 Palencia	Dato base	2020SM16	65
Total Nacional	34 Palencia	Dato base	2020SM15	62
Total Nacional	34 Palencia	Dato base	2020SM14	97
Total Nacional	34 Palencia	Dato base	2020SM13	79
Total Nacional	34 Palencia	Dato base	2020SM12	53
Total Nacional	34 Palencia	Dato base	2020SM11	49
Total Nacional	34 Palencia	Dato base	2020SM10	41
Total Nacional	34 Palencia	Dato base	2020SM09	47
Total Nacional	34 Palencia	Dato base	2020SM08	41
Total Nacional	34 Palencia	Dato base	2020SM07	38
Total Nacional	34 Palencia	Dato base	2020SM06	48
Total Nacional	34 Palencia	Dato base	2020SM05	47
Total Nacional	34 Palencia	Dato base	2020SM04	61
Total Nacional	34 Palencia	Dato base	2020SM03	52
Total Nacional	34 Palencia	Dato base	2020SM02	45
Total Nacional	34 Palencia	Dato base	2020SM01	45
Total Nacional	34 Palencia	Dato base	2019SM52	42
Total Nacional	34 Palencia	Dato base	2019SM51	37
Total Nacional	34 Palencia	Dato base	2019SM50	48
Total Nacional	34 Palencia	Dato base	2019SM49	37
Total Nacional	34 Palencia	Dato base	2019SM48	37
Total Nacional	34 Palencia	Dato base	2019SM47	48
Total Nacional	34 Palencia	Dato base	2019SM46	31
Total Nacional	34 Palencia	Dato base	2019SM45	39
Total Nacional	34 Palencia	Dato base	2019SM44	46
Total Nacional	34 Palencia	Dato base	2019SM43	41
Total Nacional	34 Palencia	Dato base	2019SM42	43
Total Nacional	34 Palencia	Dato base	2019SM41	32
Total Nacional	34 Palencia	Dato base	2019SM40	36
Total Nacional	34 Palencia	Dato base	2019SM39	38
Total Nacional	34 Palencia	Dato base	2019SM38	41
Total Nacional	34 Palencia	Dato base	2019SM37	24
Total Nacional	34 Palencia	Dato base	2019SM36	25
Total Nacional	34 Palencia	Dato base	2019SM35	42
Total Nacional	34 Palencia	Dato base	2019SM34	39
Total Nacional	34 Palencia	Dato base	2019SM33	39
Total Nacional	34 Palencia	Dato base	2019SM32	17
Total Nacional	34 Palencia	Dato base	2019SM31	37
Total Nacional	34 Palencia	Dato base	2019SM30	42
Total Nacional	34 Palencia	Dato base	2019SM29	26
Total Nacional	34 Palencia	Dato base	2019SM28	32
Total Nacional	34 Palencia	Dato base	2019SM27	52
Total Nacional	34 Palencia	Dato base	2019SM26	53
Total Nacional	34 Palencia	Dato base	2019SM25	42
Total Nacional	34 Palencia	Dato base	2019SM24	34
Total Nacional	34 Palencia	Dato base	2019SM23	32
Total Nacional	34 Palencia	Dato base	2019SM22	27
Total Nacional	34 Palencia	Dato base	2019SM21	33
Total Nacional	34 Palencia	Dato base	2019SM20	58
Total Nacional	34 Palencia	Dato base	2019SM19	42
Total Nacional	34 Palencia	Dato base	2019SM18	38
Total Nacional	34 Palencia	Dato base	2019SM17	45
Total Nacional	34 Palencia	Dato base	2019SM16	42
Total Nacional	34 Palencia	Dato base	2019SM15	42
Total Nacional	34 Palencia	Dato base	2019SM14	40
Total Nacional	34 Palencia	Dato base	2019SM13	32
Total Nacional	34 Palencia	Dato base	2019SM12	42
Total Nacional	34 Palencia	Dato base	2019SM11	43
Total Nacional	34 Palencia	Dato base	2019SM10	52
Total Nacional	34 Palencia	Dato base	2019SM09	28
Total Nacional	34 Palencia	Dato base	2019SM08	45
Total Nacional	34 Palencia	Dato base	2019SM07	62
Total Nacional	34 Palencia	Dato base	2019SM06	53
Total Nacional	34 Palencia	Dato base	2019SM05	63
Total Nacional	34 Palencia	Dato base	2019SM04	63
Total Nacional	34 Palencia	Dato base	2019SM03	54
Total Nacional	34 Palencia	Dato base	2019SM02	47
Total Nacional	34 Palencia	Dato base	2019SM01	39
Total Nacional	34 Palencia	Dato base	2018SM52	34
Total Nacional	34 Palencia	Dato base	2018SM51	46
Total Nacional	34 Palencia	Dato base	2018SM50	44
Total Nacional	34 Palencia	Dato base	2018SM49	34
Total Nacional	34 Palencia	Dato base	2018SM48	38
Total Nacional	34 Palencia	Dato base	2018SM47	53
Total Nacional	34 Palencia	Dato base	2018SM46	50
Total Nacional	34 Palencia	Dato base	2018SM45	44
Total Nacional	34 Palencia	Dato base	2018SM44	41
Total Nacional	34 Palencia	Dato base	2018SM43	39
Total Nacional	34 Palencia	Dato base	2018SM42	33
Total Nacional	34 Palencia	Dato base	2018SM41	46
Total Nacional	34 Palencia	Dato base	2018SM40	33
Total Nacional	34 Palencia	Dato base	2018SM39	24
Total Nacional	34 Palencia	Dato base	2018SM38	37
Total Nacional	34 Palencia	Dato base	2018SM37	33
Total Nacional	34 Palencia	Dato base	2018SM36	41
Total Nacional	34 Palencia	Dato base	2018SM35	38
Total Nacional	34 Palencia	Dato base	2018SM34	26
Total Nacional	34 Palencia	Dato base	2018SM33	34
Total Nacional	34 Palencia	Dato base	2018SM32	43
Total Nacional	34 Palencia	Dato base	2018SM31	51
Total Nacional	34 Palencia	Dato base	2018SM30	41
Total Nacional	34 Palencia	Dato base	2018SM29	39
Total Nacional	34 Palencia	Dato base	2018SM28	35
Total Nacional	34 Palencia	Dato base	2018SM27	42
Total Nacional	34 Palencia	Dato base	2018SM26	45
Total Nacional	34 Palencia	Dato base	2018SM25	48
Total Nacional	34 Palencia	Dato base	2018SM24	28
Total Nacional	34 Palencia	Dato base	2018SM23	29
Total Nacional	34 Palencia	Dato base	2018SM22	45
Total Nacional	34 Palencia	Dato base	2018SM21	52
Total Nacional	34 Palencia	Dato base	2018SM20	34
Total Nacional	34 Palencia	Dato base	2018SM19	36
Total Nacional	34 Palencia	Dato base	2018SM18	44
Total Nacional	34 Palencia	Dato base	2018SM17	34
Total Nacional	34 Palencia	Dato base	2018SM16	41
Total Nacional	34 Palencia	Dato base	2018SM15	46
Total Nacional	34 Palencia	Dato base	2018SM14	51
Total Nacional	34 Palencia	Dato base	2018SM13	44
Total Nacional	34 Palencia	Dato base	2018SM12	43
Total Nacional	34 Palencia	Dato base	2018SM11	42
Total Nacional	34 Palencia	Dato base	2018SM10	40
